           (0,0)            (0,0)   (-0.0615151,0)    (-0.127304,0)   (0.00233287,0)   (-0.0241682,0)    (-0.104222,0)   (-0.0284906,0)   (-0.0745554,0)     (-0.11034,0)    (-0.157594,0)   (-0.0666343,0)    (-0.148079,0)      (0.32743,0)   (-0.0198848,0)   (0.00859217,0)    (-0.499038,0)    (-0.117889,0)
    (0.494536,0)     (0.281502,0)      (1.01637,0)     (0.593404,0)     (-0.18431,0) (-7.78277e-14,0)     (0.174466,0)      (0.07178,0)     (0.674368,0)      (1.06619,0)     (0.520478,0)     (0.306637,0)     (0.267674,0)     (0.260769,0)    (-0.151634,0)    (-0.369887,0)     (-1.03873,0)    (-0.647066,0)
    (0.464632,0)     (0.294494,0)      (1.00199,0)     (0.583083,0)    (-0.180051,0) (-1.51288e-13,0)     (0.156353,0)     (0.054176,0)     (0.665548,0)      (1.06069,0)     (0.478494,0)     (0.282377,0)     (0.259154,0)     (0.251446,0)    (-0.164483,0)      (-0.3839,0)     (-1.05996,0)    (-0.666059,0)
    (0.434724,0)     (0.307488,0)     (0.987658,0)     (0.572784,0)    (-0.175784,0) (-2.70488e-13,0)     (0.137646,0)     (0.036104,0)     (0.656364,0)      (1.05472,0)       (0.4325,0)     (0.256973,0)      (0.25024,0)     (0.241763,0)    (-0.177781,0)    (-0.398513,0)     (-1.08048,0)    (-0.685034,0)
    (0.404813,0)     (0.320488,0)     (0.973371,0)     (0.562504,0)    (-0.171508,0) (-4.48422e-13,0)     (0.118327,0)    (0.0175541,0)     (0.646798,0)      (1.04824,0)     (0.382202,0)     (0.230384,0)     (0.240915,0)     (0.231711,0)    (-0.191544,0)    (-0.413755,0)     (-1.10011,0)    (-0.703935,0)
    (0.374902,0)     (0.333496,0)     (0.959128,0)      (0.55224,0)    (-0.167221,0) (-6.95614e-13,0)    (0.0983764,0)  (-0.00148302,0)     (0.636829,0)      (1.04119,0)     (0.327353,0)      (0.20257,0)     (0.231161,0)     (0.221279,0)    (-0.205788,0)     (-0.42966,0)     (-1.11863,0)    (-0.722699,0)
    (0.344991,0)     (0.346514,0)     (0.944928,0)     (0.541991,0)    (-0.162921,0) (-1.00483e-12,0)    (0.0777761,0)   (-0.0210161,0)     (0.626436,0)      (1.03355,0)     (0.267786,0)     (0.173496,0)      (0.22096,0)     (0.210455,0)    (-0.220531,0)    (-0.446258,0)     (-1.13583,0)     (-0.74126,0)
    (0.315084,0)     (0.359547,0)     (0.930769,0)     (0.531754,0)    (-0.158608,0)  (-1.3397e-12,0)    (0.0565079,0)   (-0.0410533,0)     (0.615595,0)      (1.02524,0)     (0.203453,0)     (0.143133,0)     (0.210293,0)     (0.199231,0)    (-0.235789,0)    (-0.463581,0)     (-1.15147,0)     (-0.75955,0)
    (0.285182,0)     (0.372597,0)     (0.916649,0)     (0.521526,0)     (-0.15428,0) (-1.62687e-12,0)    (0.0345544,0)   (-0.0616022,0)     (0.604283,0)      (1.01621,0)     (0.134473,0)     (0.111458,0)     (0.199144,0)     (0.187599,0)    (-0.251576,0)     (-0.48166,0)     (-1.16533,0)    (-0.777498,0)
    (0.255288,0)     (0.385669,0)     (0.902567,0)     (0.511304,0)    (-0.149935,0) (-1.76796e-12,0)    (0.0118988,0)   (-0.0826694,0)     (0.592472,0)      (1.00639,0)    (0.0611745,0)    (0.0784572,0)     (0.187497,0)     (0.175551,0)    (-0.267909,0)    (-0.500525,0)     (-1.17719,0)    (-0.795031,0)
    (0.225402,0)     (0.398765,0)      (0.88852,0)     (0.501086,0)    (-0.145572,0) (-1.67126e-12,0)   (-0.0114743,0)    (-0.104261,0)     (0.580136,0)     (0.995708,0)   (-0.0158718,0)    (0.0441272,0)     (0.175336,0)     (0.163082,0)      (-0.2848,0)    (-0.520203,0)     (-1.18685,0)    (-0.812075,0)
    (0.195529,0)      (0.41189,0)     (0.874506,0)     (0.490869,0)    (-0.141189,0) (-1.31566e-12,0)   (-0.0355794,0)    (-0.126381,0)     (0.567244,0)     (0.984076,0)   (-0.0958488,0)   (0.00847597,0)     (0.162648,0)     (0.150188,0)    (-0.302261,0)    (-0.540718,0)     (-1.19416,0)    (-0.828559,0)
    (0.165669,0)     (0.425047,0)     (0.860522,0)     (0.480651,0)    (-0.136784,0) (-7.79014e-13,0)   (-0.0604292,0)    (-0.149033,0)     (0.553766,0)       (0.9714,0)    (-0.177718,0)   (-0.0284743,0)     (0.149422,0)     (0.136866,0)    (-0.320305,0)    (-0.562092,0)     (-1.19903,0)    (-0.844411,0)
    (0.135827,0)      (0.43824,0)     (0.846564,0)     (0.470428,0)    (-0.132356,0) (-2.14478e-13,0)   (-0.0860346,0)     (-0.17222,0)     (0.539668,0)     (0.957576,0)    (-0.260287,0)   (-0.0666864,0)     (0.135649,0)     (0.123116,0)    (-0.338938,0)    (-0.584338,0)     (-1.20142,0)    (-0.859561,0)
    (0.106004,0)     (0.451475,0)      (0.83263,0)     (0.460197,0)    (-0.127901,0)  (2.28915e-13,0)    (-0.112404,0)    (-0.195943,0)     (0.524915,0)     (0.942486,0)      (-0.3423,0)    (-0.106106,0)     (0.121324,0)     (0.108942,0)    (-0.358167,0)    (-0.607465,0)     (-1.20135,0)    (-0.873946,0)
   (0.0762023,0)     (0.464755,0)     (0.818716,0)     (0.449955,0)    (-0.123419,0)  (4.80958e-13,0)    (-0.139545,0)      (-0.2202,0)     (0.509468,0)     (0.925996,0)    (-0.422551,0)    (-0.146663,0)     (0.106444,0)    (0.0943477,0)    (-0.377995,0)    (-0.631471,0)     (-1.19894,0)    (-0.887506,0)
   (0.0464261,0)     (0.478085,0)     (0.804818,0)       (0.4397,0)    (-0.118906,0)  (5.60764e-13,0)     (-0.16746,0)    (-0.244991,0)     (0.493289,0)     (0.907959,0)    (-0.499977,0)    (-0.188267,0)    (0.0910123,0)    (0.0793422,0)     (-0.39842,0)    (-0.656342,0)     (-1.19434,0)     (-0.90019,0)
