1.8700438348728161,-0.5235870043873335,0.+0.926898973258719*I,0.+0.10569096861540776*I,0.-0.7154784037290103*I,0,1.5707963267948966-1.5262959577414468*I,1.5707963267948966-0.6913993396133374*I,1.5707963267948966+0.19979190028305735*I,1.5707963267948966+0.5230490884925063*I,1.5707963267948966-0.37718441615032183*I,1.5707963267948966-1.3985097660833001*I,0.5889695511742917+4.8919532403342845*^-18*I,0.6273584382908439-9.456869853007833*^-17*I,0.38453167003247346-1.2475304943139138*^-17*I,0.5910427650086758-6.21291993862106*^-17*I,0.15279452223188406-1.091982750937909*^-16*I,-0.07498723590723586+3.3415727902921217*^-17*I
1.8077363089238982+2.6225369062073728*^-25*I,-0.5879387896944828+2.1304040792323307*^-26*I,-2.3401640527652053*^-25+0.8460662414476284*I,2.5190113939038073*^-26+0.12905544885467876*I,2.5451974695392524*^-26-0.7093059165476014*I,0.022937580392541176-7.937635516164026*^-27*I,1.5707963267948966-1.5164785471243691*I,1.5707963267948966-0.6736620290969528*I,1.5707963267948966+0.24628140885034877*I,1.5707963267948966+0.6162854152839093*I,1.5707963267948966-0.3026623160767785*I,1.5707963267948966-1.3472166420348162*I,0.5860491205287741+1.5162508522549366*^-26*I,0.6789537822542824-1.1436590366518152*^-26*I,0.47580030066054474-3.0764471188294886*^-26*I,0.708932064441034-5.609536731580037*^-26*I,0.22943376658464554-3.412411983823395*^-26*I,-0.08664327251361621+6.410364172301685*^-27*I
1.7576903173098666-2.6808913299299913*^-26*I,-0.6346733250453086-3.877807035508794*^-26*I,2.40152738606367*^-26+0.7728032699639336*I,5.7968759663480004*^-27+0.14857573836794685*I,-5.770938220493392*^-27-0.7044897918966134*I,0.0444058974567658+5.4235538329577756*^-27*I,1.5707963267948966-1.5032007858035341*I,1.5707963267948966-0.6497543788050728*I,1.5707963267948966+0.2979991253541759*I,1.5707963267948966+0.7115449093968272*I,1.5707963267948966-0.2346720854854385*I,1.5707963267948966-1.3002722953488421*I,0.5749911528943197+4.101389406172381*^-26*I,0.7181492745099588+3.7327627264351254*^-26*I,0.552408401383004+2.7922409694721527*^-26*I,0.8043581349221082+3.0691216620749834*^-26*I,0.28587533699056655+2.814432666113767*^-26*I,-0.10410971003217767+3.207954480587076*^-26*I
1.7274520352901612-1.4408913616200368*^-26*I,-0.6626403973827177-5.211515229679916*^-27*I,1.2188521207705256*^-26+0.7206484211243686*I,7.751278770823961*^-28+0.16295842851457545*I,-2.046368387045424*^-27-0.7018201063537796*I,0.06269401330863156+1.5451451944618733*^-27*I,1.5707963267948966-1.4943929256207173*I,1.5707963267948966-0.627894597647282*I,1.5707963267948966+0.344053592181428*I,1.5707963267948966+0.7870457632153101*I,1.5707963267948966-0.1860308254008502*I,1.5707963267948966-1.2667297643907611*I,0.5583848484524401+6.126271975780492*^-27*I,0.7437506446011863+5.583555953275253*^-27*I,0.6094032872732202+3.903898086393199*^-27*I,0.8696247898517423+3.580762834587608*^-27*I,0.31928220388371137+3.199360696385853*^-27*I,-0.12542428129372465+4.380859797917056*^-27*I
1.7181052091232345+1.5580047724224747*^-22*I,-0.6729911798561459+1.2146340781266305*^-22*I,-1.7097159160858155*^-22+0.6959152144284527*I,4.795474399087085*^-23+0.17183285331650208*I,1.7342924160835752*^-23-0.701362818551015*I,0.07655729043404387+1.3959812280457366*^-23*I,1.5707963267948966-1.4954743195860718*I,1.5707963267948966-0.6147679105135745*I,1.5707963267948966+0.37504918377363433*I,1.5707963267948966+0.8245469675295997*I,1.5707963267948966-0.1631018783281711*I,1.5707963267948966-1.250940299965635*I,0.5396847335523871-6.473975160441662*^-23*I,0.7564856422552815-7.217407355303063*^-23*I,0.644279125003781-9.619854510384446*^-23*I,0.9014814593378779-1.9395083667039146*^-22*I,0.33083674798847207-1.483259499160884*^-22*I,-0.1482877788136561-7.85041656440262*^-23*I
1.7285362527122874-1.1975584605113718*^-23*I,-0.6668912158091672-1.632094247336209*^-23*I,2.8587182307538946*^-23+0.7011201604381996*I,3.772112634356011*^-25+0.17519687547932805*I,-4.233381267743426*^-24-0.702909503454904*I,0.08527972866589231+1.1923095853184594*^-23*I,1.5707963267948966-1.5096851924723396*I,1.5707963267948966-0.6147172448189651*I,1.5707963267948966+0.384679925271461*I,1.5707963267948966+0.8149701922603381*I,1.5707963267948966-0.1675853425285943*I,1.5707963267948966-1.2545835856103953*I,0.5216241405259555+1.9453397423615592*^-24*I,0.7572758541012707+2.1754844929363888*^-23*I,0.6558145468183644+2.7154189345174186*^-23*I,0.8999256334657624+2.9011200658949895*^-23*I,0.32291192027915333+1.081159964772921*^-23*I,-0.171298198704307-1.841274483102317*^-24*I
1.7587167411513849+1.0484068159671049*^-22*I,-0.6441897085281981+1.8810021190048526*^-23*I,-8.829096576945554*^-23+0.7382344328962013*I,-6.150291205909742*^-25+0.17293656169594812*I,1.0715451866917136*^-23-0.7063574490499271*I,0.08854001295559809-5.550363864239431*^-24*I,1.5707963267948966-1.539089645036499*I,1.5707963267948966-0.6299847904276149*I,1.5707963267948966+0.3701449274742201*I,1.5707963267948966+0.7594418962506293*I,1.5707963267948966-0.19955031756779507*I,1.5707963267948966-1.2788389877920634*I,0.5054695623654017-2.655584472845826*^-23*I,0.7461967133167035-1.9362260154349408*^-23*I,0.6431464275199316-1.1098460242785243*^-23*I,0.8664699749244879-8.619678384310795*^-24*I,0.29690088074697907-1.0771419392027883*^-23*I,-0.1943981423188413-1.895408729068382*^-23*I
1.8112941402500708-1.2068007028416242*^-26*I,-0.602700916831854-1.5646748293945704*^-26*I,1.6793364871967372*^-26+0.810383652825729*I,-2.436826567803495*^-27+0.16458446788198416*I,-1.537899824264443*^-27-0.7118762040168346*I,0.08625966807139804+1.674866847364016*^-27*I,1.5707963267948966-1.5850622610962082*I,1.5707963267948966-0.6610197508983232*I,1.5707963267948966+0.3320311547770678*I,1.5707963267948966+0.6659375946420718*I,1.5707963267948966-0.2591469653265107*I,1.5707963267948966-1.3255320998269013*I,0.4906843148880767+8.892943362977988*^-27*I,0.7218357871398755+1.3246962605521447*^-26*I,0.605031047119335+1.5019617580711945*^-26*I,0.8023835789697094+2.001840643098232*^-26*I,0.25221127665740417+1.4232588050374207*^-26*I,-0.218953038167544+7.810091998359345*^-27*I
1.8915412558831093-3.9737186090343855*^-26*I,-0.5377026338352189-1.900216935241414*^-25*I,9.603344581801546*^-26+0.9215973683484819*I,-2.4325332802766704*^-26+0.14933447073012412*I,-6.860444400465797*^-27-0.7198512683452588*I,0.07855785890081465+1.2269184716967778*^-26*I,1.5707963267948966-1.6476636899050499*I,1.5707963267948966-0.7061348275185494*I,1.5707963267948966+0.2743033769036708*I,1.5707963267948966+0.5455584713196122*I,1.5707963267948966-0.34621643396676227*I,1.5707963267948966-1.3969880903317744*I,0.47450442203842774+1.14125173531213*^-25*I,0.6807238851210757+1.5717150447928505*^-25*I,0.5392347420806715+1.7175049473562307*^-25*I,0.7076134035842152+2.1696738782946627*^-25*I,0.18620859313506052+1.6643507346786092*^-25*I,-0.2478504660044291+1.0002455190088676*^-25*I
2.0040605903227666+1.1394240861754104*^-24*I,-0.44186772164449445-5.298057039282769*^-25*I,-8.946089816697001*^-25+1.072916077872362*I,-2.2612543781005798*^-26+0.12643727170424793*I,9.469926562573567*^-26-0.7304806063170494*I,0.06587882569429797-1.284981695684492*^-26*I,1.5707963267948966-1.7232844173016395*I,1.5707963267948966-0.760072398799845*I,1.5707963267948966+0.2049830555696189*I,1.5707963267948966+0.41168362470381226*I,1.5707963267948966-0.4575406404409849*I,1.5707963267948966-1.4939191870504285*I,0.45144575190230796+3.3974289003695744*^-25*I,0.6170251328376594+4.294960849051947*^-25*I,0.4423108903323925+4.483441416546358*^-25*I,0.5809247875904537+5.323187002389869*^-25*I,0.09506535493293627+4.41076678200561*^-25*I,-0.28557204237777845+2.9626663248651757*^-25*I
